,title,level,skills,category,company,link,date,min_salary,max_salary
0,Back-end Java Developer (Mid/Senior),"['mid', 'senior']",['java'],"['backend', 'java']",Sopra Steria - Apps Services,https://nofluffjobs.com//pl/job/back-end-java-developer-mid-senior-sopra-steria-apps-services-katowice-zetrwdbn,99999999,13440,23520
1,Solution Architect (.Net),['senior'],"['.net', 'azure']","['backend', '.net']",Codibly,https://nofluffjobs.com//pl/job/solution-architect-net-codibly-remote-8gscbzgv,99999999,26000,33000
2,Angular Developer (Internet of Things),"['mid', 'senior']","['angular', 'javascript', 'typescript']","['frontend', 'angular']",Sigma IT Polska,https://nofluffjobs.com//pl/job/angular-developer-internet-of-things-sigma-it-polska-remote-sxaitb3w,99999999,18000,21500
3,Senior BI Developer (with Power BI),['senior'],"['sql', 'azure']",['business intelligence'],EBIS,https://nofluffjobs.com//pl/job/senior-bi-developer-with-power-bi-ebis-remote-go6lpz5z,99999999,16800,23520
4,Software Engineer with Java,['mid'],"['java', 'sql', 'react']","['backend', 'java']",Objectivity,https://nofluffjobs.com//pl/job/software-engineer-with-java-objectivity-remote-5jyu7dim,99999999,14280,17640
5,Performance Tester,['mid'],[],['testing'],Sii Polska,https://nofluffjobs.com//pl/job/performance-tester-sii-polska-remote-1gntwnrg,99999999,14000,20000
6,.NET Engineer,"['mid', 'senior']","['.net', 'c#']","['fullstack', '.net']",Sopra Steria - Apps Services,https://nofluffjobs.com//pl/job/net-engineer-sopra-steria-apps-services-katowice-noyao8i0,99999999,13440,23520
7,IT Service Delivery Manager,['senior'],[],['project manager'],Adform Sp. z o.o.,https://nofluffjobs.com//pl/job/it-service-delivery-manager-adform-warszawa-e7afgjxm,99999999,19000,25000
8,Test Automation Engineer,['mid'],"['python', 'c++']","['testing', 'python']",WB Electronics S.A.,https://nofluffjobs.com//pl/job/test-automation-engineer-wb-electronics-warszawa-y8jxjd4r,99999999,11000,15000
9,Technical Customer Support,['mid'],[],['support'],Hays Poland,https://nofluffjobs.com//pl/job/technical-customer-support-hays-poland-warszawa-pqznhzga,99999999,8000,10000
10,Test Automation Engineer,"['mid', 'senior']",['python'],"['testing', 'python']",Devire,https://nofluffjobs.com//pl/job/test-automation-engineer-devire-remote-cxxfcmbm,99999999,20160,30240
11,Specjalista ds. zakupów IT,"['mid', 'senior']",[],['backoffice'],Narodowy Instytut Kardiologii,https://nofluffjobs.com//pl/job/specjalista-ds-zakupow-it-narodowy-instytut-kardiologii-warszawa-lu8cox4m,99999999,5000,10000
12,Remote React Native Developer,['senior'],"['react', 'react native']","['mobile', 'react native']",FORM,https://nofluffjobs.com//pl/job/remote-react-native-developer-form-ixmbhwkg,99999999,20000,28000
13,Data Science Leader,"['senior', 'expert']",[],['ai'],Global App Testing,https://nofluffjobs.com//pl/job/data-science-leader-global-app-testing-remote-mkbj1na8,99999999,25000,35000
14,Senior Performance Marketing Specialist,"['mid', 'senior']",[],['marketing'],No Fluff Jobs,https://nofluffjobs.com//pl/job/senior-performance-marketing-specialist-no-fluff-jobs-remote-vsglqqr1,99999999,7000,12000
15,UX Researcher,['mid'],[],['design'],Fireart Studio,https://nofluffjobs.com//pl/job/ux-researcher-fireart-studio-remote-oi1ogxtx,99999999,8000,16000
16,Specjalista ds. dokumentacji IT,['mid'],[],['backoffice'],Narodowy Instytut Kardiologii,https://nofluffjobs.com//pl/job/specjalista-ds-dokumentacji-it-narodowy-instytut-kardiologii-warszawa-asmg3rmj,99999999,5000,8500
17,Remote Senior Java Developer,['senior'],"['java', 'sql']","['backend', 'java']",Harvey Nash Technology,https://nofluffjobs.com//pl/job/remote-senior-java-developer-harvey-nash-technology-vv32yduf,99999999,25200,33600
18,"Front-End Engineer, Monetization",['mid'],"['javascript', 'react']","['frontend', 'javascript']",BRAINLY,https://nofluffjobs.com//pl/job/front-end-engineer-monetization-brainly-remote-kirnuayv,99999999,11000,19000
19,Analityk Biznesowo-Systemowy,['mid'],[],['business analyst'],Innsoft Sp. z o.o.,https://nofluffjobs.com//pl/job/analityk-biznesowo-systemowy-innsoft-warsawa-uhqdd3ee,99999999,7000,12000
