,title,salary,level,skills,category,company,link,date
0, Back-end Java Developer (Mid/Senior) , 13 440  - 23 520  PLN ," Mid, Senior ",[' Java '],"Backend, java", Sopra Steria - Apps Services ,https://nofluffjobs.com//pl/job/back-end-java-developer-mid-senior-sopra-steria-apps-services-katowice-zetrwdbn,99999999
1, Solution Architect (.Net) , 26 000  - 33 000  PLN , Senior ,"[' .NET ', ' Azure ']","Backend, .net", Codibly ,https://nofluffjobs.com//pl/job/solution-architect-net-codibly-remote-8gscbzgv,99999999
2, Angular Developer (Internet of Things) , 18 000  - 21 500  PLN ," Mid, Senior ","[' Angular ', ' JavaScript ', ' TypeScript ']","Frontend, angular", Sigma IT Polska ,https://nofluffjobs.com//pl/job/angular-developer-internet-of-things-sigma-it-polska-remote-sxaitb3w,99999999
3, Senior BI Developer (with Power BI) , 16 800  - 23 520  PLN , Senior ,"[' SQL ', ' Azure ']",Business Intelligence, EBIS ,https://nofluffjobs.com//pl/job/senior-bi-developer-with-power-bi-ebis-remote-go6lpz5z,99999999
4, Software Engineer with Java , 14 280  - 17 640  PLN , Mid ,"[' Java ', ' SQL ', ' React ']","Backend, java", Objectivity ,https://nofluffjobs.com//pl/job/software-engineer-with-java-objectivity-remote-5jyu7dim,99999999
5, Performance Tester , 14 000  - 20 000  PLN , Mid ,[],Testing, Sii Polska ,https://nofluffjobs.com//pl/job/performance-tester-sii-polska-remote-1gntwnrg,99999999
6, .NET Engineer , 13 440  - 23 520  PLN ," Mid, Senior ","[' .NET ', ' C# ']","Fullstack, .net", Sopra Steria - Apps Services ,https://nofluffjobs.com//pl/job/net-engineer-sopra-steria-apps-services-katowice-noyao8i0,99999999
7, IT Service Delivery Manager , 19 000  - 25 000  PLN , Senior ,[],Project Manager, Adform Sp. z o.o. ,https://nofluffjobs.com//pl/job/it-service-delivery-manager-adform-warszawa-e7afgjxm,99999999
8, Test Automation Engineer , 11 000  - 15 000  PLN , Mid ,"[' Python ', ' C++ ']","Testing, python", WB Electronics S.A. ,https://nofluffjobs.com//pl/job/test-automation-engineer-wb-electronics-warszawa-y8jxjd4r,99999999
9, Technical Customer Support , 8 000  - 10 000  PLN , Mid ,[],Support, Hays Poland ,https://nofluffjobs.com//pl/job/technical-customer-support-hays-poland-warszawa-pqznhzga,99999999
10, Test Automation Engineer , 20 160  - 30 240  PLN ," Mid, Senior ",[' Python '],"Testing, python", Devire ,https://nofluffjobs.com//pl/job/test-automation-engineer-devire-remote-cxxfcmbm,99999999
11, Specjalista ds. zakupów IT , 5 000  - 10 000  PLN ," Mid, Senior ",[],Backoffice, Narodowy Instytut Kardiologii ,https://nofluffjobs.com//pl/job/specjalista-ds-zakupow-it-narodowy-instytut-kardiologii-warszawa-lu8cox4m,99999999
12, Remote React Native Developer , 20 000  - 28 000  PLN , Senior ,"[' React ', ' React Native ']","Mobile, React Native", FORM ,https://nofluffjobs.com//pl/job/remote-react-native-developer-form-ixmbhwkg,99999999
13, Data Science Leader , 25 000  - 35 000  PLN ," Senior, Expert ",[],AI, Global App Testing ,https://nofluffjobs.com//pl/job/data-science-leader-global-app-testing-remote-mkbj1na8,99999999
14, Senior Performance Marketing Specialist , 7 000  - 12 000  PLN ," Mid, Senior ",[],Marketing, No Fluff Jobs ,https://nofluffjobs.com//pl/job/senior-performance-marketing-specialist-no-fluff-jobs-remote-vsglqqr1,99999999
15, UX Researcher , 8 000  - 16 000  PLN , Mid ,[],Design, Fireart Studio ,https://nofluffjobs.com//pl/job/ux-researcher-fireart-studio-remote-oi1ogxtx,99999999
16, Specjalista ds. dokumentacji IT , 5 000  - 8 500  PLN , Mid ,[],Backoffice, Narodowy Instytut Kardiologii ,https://nofluffjobs.com//pl/job/specjalista-ds-dokumentacji-it-narodowy-instytut-kardiologii-warszawa-asmg3rmj,99999999
17, Remote Senior Java Developer , 25 200  - 33 600  PLN , Senior ,"[' Java ', ' SQL ']","Backend, java", Harvey Nash Technology ,https://nofluffjobs.com//pl/job/remote-senior-java-developer-harvey-nash-technology-vv32yduf,99999999
18," Front-End Engineer, Monetization ", 11 000  - 19 000  PLN , Mid ,"[' JavaScript ', ' React ']","Frontend, javascript", BRAINLY ,https://nofluffjobs.com//pl/job/front-end-engineer-monetization-brainly-remote-kirnuayv,99999999
19, Analityk Biznesowo-Systemowy , 7 000  - 12 000  PLN , Mid ,[],Business Analyst, Innsoft Sp. z o.o. ,https://nofluffjobs.com//pl/job/analityk-biznesowo-systemowy-innsoft-warsawa-uhqdd3ee,99999999
