,title,level,skills,category,company,link,date,min_salary,max_salary,trainee,junior,mid,senior,expert,php,c,java,angular,cpp,_net,flutter,azure,hadoop,ruby,android,react_native,elixir,sql,c_sharp,typescript,golang,react,html_css,kotlin,python,javascript,spark,vue_js,aws,ruby_on_rails,ios,node_js,scala
0,senior python backend engineer,"['mid', 'senior']","['python', 'sql']","['backend', 'python']",smartpatient,https://nofluffjobs.com//pl/job/senior-python-backend-engineer-smartpatient-remote-8ixsnkua,20220622,21750,26000,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,remote sales manager,['mid'],[],['sales'],mate academy,https://nofluffjobs.com//pl/job/remote-sales-manager-mate-academy-suxjagi3,20220622,6650,13301,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,data analyst / analityk danych,['junior'],['sql'],"['big_data', 'sql']",ovufriend,https://nofluffjobs.com//pl/job/data-analyst-analityk-danych-ovufriend-warszawa-b9lrikd7,20220622,9000,10000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,remote ux/ui designer,['mid'],[],['design'],britenet,https://nofluffjobs.com//pl/job/remote-ux-ui-designer-britenet-9kaafcja,20220622,10000,16000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"fullstack engineer (python, react)",['senior'],"['react', 'python']","['fullstack', 'python']",softserve,https://nofluffjobs.com//pl/job/fullstack-engineer-python-react-softserve-remote-hk06hw0m,20220622,15500,22000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
5,mid javascript fullstack developer,['mid'],"['javascript', 'typescript', 'react']","['fullstack', 'javascript']",beesafe sp_ z o_o_,https://nofluffjobs.com//pl/job/mid-javascript-fullstack-developer-beesafe-remote-kokhslhw,20220622,12000,19000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
6,qa engineer - tester automatyzujący,"['mid', 'senior']",[],['testing'],panek s_a_,https://nofluffjobs.com//pl/job/qa-engineer-tester-automatyzujacy-panek-warszawa-yrxcesax,20220622,15000,22000,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,remote _net developer,['mid'],['_net'],"['fullstack', '_net']",canon ophthalmic sp_ z o_ o_,https://nofluffjobs.com//pl/job/remote-net-developer-canon-ophthalmic-byc8qbx7,20220622,15200,19500,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,angular developer (praca zdalna),"['mid', 'senior']","['angular', 'typescript']","['frontend', 'angular']",finture,https://nofluffjobs.com//pl/job/angular-developer-praca-zdalna-finture-remote-uhzbqmpn,20220622,10000,17500,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,remote java or kotlin engineer,"['mid', 'senior']",['java'],"['backend', 'java']",fox heap,https://nofluffjobs.com//pl/job/remote-java-or-kotlin-engineer-fox-heap-njbk2fug,20220622,23520,30240,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,react front-end developer,['mid'],"['react', 'javascript', 'typescript']","['frontend', 'react']",insert s_a_,https://nofluffjobs.com//pl/job/react-front-end-developer-insert-remote-wij9usdt,20220622,11000,15000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
11,data platform engineer,"['mid', 'senior']","['spark', 'scala', 'java', 'hadoop']","['big_data', 'spark']",link group,https://nofluffjobs.com//pl/job/data-platform-engineer-link-group-remote-c5npjycy,20220622,28000,36000,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
12,mid c/cpp firmware developer,['mid'],"['cpp', 'c']","['embedded', 'cpp']",kubo poland,https://nofluffjobs.com//pl/job/mid-c-c-firmware-developer-kubo-poland-katowice-r4lilczp,20220622,23520,28560,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,mid backend java developer,['mid'],['java'],"['backend', 'java']",kubo poland,https://nofluffjobs.com//pl/job/mid-backend-java-developer-kubo-poland-warszawa-brhmzxez,20220622,21840,26880,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,remote mid c# test automation engineer,['mid'],"['_net', 'c_sharp']","['testing', 'c_sharp']",kubo poland,https://nofluffjobs.com//pl/job/remote-mid-c-test-automation-engineer-kubo-poland-anqjfn9a,20220622,20160,23520,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,project manager,"['mid', 'senior']",[],['project_manager'],interactive workspace sp_ z o_o_,https://nofluffjobs.com//pl/job/project-manager-interactive-workspace-remote-yansp6ku,20220622,12000,19000,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,mid android developer hybrydowo,['mid'],"['android', 'java', 'kotlin']","['mobile', 'android']",kubo poland,https://nofluffjobs.com//pl/job/mid-android-developer-hybrydowo-kubo-poland-warszawa-dys4x2i9,20220622,22680,26040,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
17,remote mid frontend angular developer,['mid'],"['angular', 'javascript', 'typescript']","['frontend', 'angular']",kubo poland,https://nofluffjobs.com//pl/job/remote-mid-frontend-angular-developer-kubo-poland-y8ysgn6z,20220622,18480,21840,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
